Site Name	Owner	Company CEO	CEO Annual Pay	Company Net Profit	Company Reported MT of Salmon harvested in a year	Latitude	Longitude	Farm Type	Type of Salmon Grown	Brand Names Sold Under	Date Registered	National Grid Reference	Nation	Region or Province	Local Authority	Location	Farm Site Licensed 2017-2020?	Feed Discharged Per Year In Metric Tons (MT)	Reported Green House Gas (GHG) C02 MT emissions from feed discharged per annum	Salmon Grown Per Year	Approx. effluent rate based on stocking size	Algae Blooms	# Salmon Mortalities 2012-2020	Locally Reported Impact on Wildlife and Area	Lifetime Reported Escapes 1998-2020	Infectious Salmon Anaemia Virus Outbreak 2012-2020 (ISAv)	Piscine Reovirus Outbreak (PRV)	Infectious Pancreatic Necrosis Virus Confirmed 2012-2020 (IPNv)	Sealice Outbreaks	Sealice Treatments	Florfenicol Treatments	Reported SLICE®, emamectin benzoate (EMB)Treatments
Goblin Bay	Marine Harvest Canada (MOWI)	Ivan Vindheim	$1,667,957.10 (2019)	$838,514,835.00 (EBIT-2019)	436,000 MT harvested (2019)	47.7209	-56.0837	Sea Farm	Atlantic Salmon	MOWI, Appeti Marine, Mowi Salmon, Donegal Silver, Admiral's, Pieters, Laschinger, Kritsen, Ducktrap River, Harbour Salmon Co, Rebel Fish, Sterling, Marine Harvest, Olav's	2019	N/A	Canada	Newfoundland	Goblin Bay	Southern Coast Newfoundland	Y	TBD		TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD
Indian Tea Point	Marine Harvest Canada (MOWI)	Ivan Vindheim	$1,667,957.10 (2019)	$838,514,835.00 (EBIT-2019)	436,000 MT harvested (2019)	47.732358	-56.330015	Sea Farm	Atlantic Salmon	MOWI, Appeti Marine, Mowi Salmon, Donegal Silver, Admiral's, Pieters, Laschinger, Kritsen, Ducktrap River, Harbour Salmon Co, Rebel Fish, Sterling, Marine Harvest, Olav's	2019	N/A	Canada	Newfoundland	Facheux Bay	Southern Coast Newfoundland	Y	TBD		TBD	TBD	TBD	24,820	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD
Jervis Island	Marine Harvest Canada (MOWI)	Ivan Vindheim	$1,667,957.10 (2019)	$838,514,835.00 (EBIT-2019)	436,000 MT harvested (2019)	47.6557	-56.1363	Sea Farm	Atlantic Salmon	MOWI, Appeti Marine, Mowi Salmon, Donegal Silver, Admiral's, Pieters, Laschinger, Kritsen, Ducktrap River, Harbour Salmon Co, Rebel Fish, Sterling, Marine Harvest, Olav's	2019	N/A	Canada	Newfoundland	Jervis Island	Southern Coast Newfoundland	Y	TBD		TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD
Little Bay	Marine Harvest Canada (MOWI)	Ivan Vindheim	$1,667,957.10 (2019)	$838,514,835.00 (EBIT-2019)	436,000 MT harvested (2019)	47.6295	-56.6660	Sea Farm	Atlantic Salmon	MOWI, Appeti Marine, Mowi Salmon, Donegal Silver, Admiral's, Pieters, Laschinger, Kritsen, Ducktrap River, Harbour Salmon Co, Rebel Fish, Sterling, Marine Harvest, Olav's	2019	N/A	Canada	Newfoundland	Little Bay, N. of Parson's Harbour	Southern Coast Newfoundland	Y	TBD		TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD
Mare Cove South	Marine Harvest Canada (MOWI)	Ivan Vindheim	$1,667,957.10 (2019)	$838,514,835.00 (EBIT-2019)	436,000 MT harvested (2019)	47.6619	-56.5197	Sea Farm	Atlantic Salmon	MOWI, Appeti Marine, Mowi Salmon, Donegal Silver, Admiral's, Pieters, Laschinger, Kritsen, Ducktrap River, Harbour Salmon Co, Rebel Fish, Sterling, Marine Harvest, Olav's	2019	N/A	Canada	Newfoundland	Mare Cove South	Southern Coast Newfoundland	Y	TBD		TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD
Pass My Can	Marine Harvest Canada (MOWI)	Ivan Vindheim	$1,667,957.10 (2019)	$838,514,835.00 (EBIT-2019)	436,000 MT harvested (2019)	47.6682	-56.1517	Sea Farm	Atlantic Salmon	MOWI, Appeti Marine, Mowi Salmon, Donegal Silver, Admiral's, Pieters, Laschinger, Kritsen, Ducktrap River, Harbour Salmon Co, Rebel Fish, Sterling, Marine Harvest, Olav's	2019	N/A	Canada	Newfoundland	TBD	Southern Coast Newfoundland	Y	TBD		TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD
Rencontre Bay	Marine Harvest Canada (MOWI)	Ivan Vindheim	$1,667,957.10 (2019)	$838,514,835.00 (EBIT-2019)	436,000 MT harvested (2019)	47.6231	-56.6824	Sea Farm	Atlantic Salmon	MOWI, Appeti Marine, Mowi Salmon, Donegal Silver, Admiral's, Pieters, Laschinger, Kritsen, Ducktrap River, Harbour Salmon Co, Rebel Fish, Sterling, Marine Harvest, Olav's	2019	N/A	Canada	Newfoundland	TBD	Southern Coast Newfoundland	Y	TBD		TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD
The Gorge	Marine Harvest Canada (MOWI)	Ivan Vindheim	$1,667,957.10 (2019)	$838,514,835.00 (EBIT-2019)	436,000 MT harvested (2019)	47.6331	-56.7027	Sea Farm	Atlantic Salmon	MOWI, Appeti Marine, Mowi Salmon, Donegal Silver, Admiral's, Pieters, Laschinger, Kritsen, Ducktrap River, Harbour Salmon Co, Rebel Fish, Sterling, Marine Harvest, Olav's	2019	N/A	Canada	Newfoundland	N. of Rencontre West	Southern Coast Newfoundland	Y	TBD		TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD
Wallace Cove	Marine Harvest Canada (MOWI)	Ivan Vindheim	$1,667,957.10 (2019)	$838,514,835.00 (EBIT-2019)	436,000 MT harvested (2019)	47.717578	-56.314909	Sea Farm	Atlantic Salmon	MOWI, Appeti Marine, Mowi Salmon, Donegal Silver, Admiral's, Pieters, Laschinger, Kritsen, Ducktrap River, Harbour Salmon Co, Rebel Fish, Sterling, Marine Harvest, Olav's	2019	N/A	Canada	Newfoundland	Facheux Bay	Southern Coast Newfoundland	Y	TBD		TBD	TBD	TBD	24,820	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD
Wild Cove 1	Marine Harvest Canada (MOWI)	Ivan Vindheim	$1,667,957.10 (2019)	$838,514,835.00 (EBIT-2019)	436,000 MT harvested (2019)	47.6498	-56.2050	Sea Farm	Atlantic Salmon	MOWI, Appeti Marine, Mowi Salmon, Donegal Silver, Admiral's, Pieters, Laschinger, Kritsen, Ducktrap River, Harbour Salmon Co, Rebel Fish, Sterling, Marine Harvest, Olav's	2019	N/A	Canada	Newfoundland	N. of Drake Island	Southern Coast Newfoundland	Y	TBD		TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD
Wild Cove 2	Marine Harvest Canada (MOWI)	Ivan Vindheim	$1,667,957.10 (2019)	$838,514,835.00 (EBIT-2019)	436,000 MT harvested (2019)	47.650434	-56.205	Sea Farm	Atlantic Salmon	MOWI, Appeti Marine, Mowi Salmon, Donegal Silver, Admiral's, Pieters, Laschinger, Kritsen, Ducktrap River, Harbour Salmon Co, Rebel Fish, Sterling, Marine Harvest, Olav's	2019	N/A	Canada	Newfoundland	Facheux Bay	Southern Coast Newfoundland	Y									TBD	TBD	TBD	TBD	TBD	TBD	TBD
Jerseyman Island, Placentia Bay	Norman, Bernard	TBD	TBD	TBD	TBD	47.3348	-54.8875	Sea Farm	Atlantic Salmon	TBD	1998	N/A	Canada	Newfoundland	Placentia Bay	Southern Coast Newfoundland	Y	TBD		TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD
Belle Island, Belle Bay	Northern Harvest Sea Farms NL Ltd. (Owned by Marine Harvest Canada/MOWI)	Ivan Vindheim	$1,667,957.10 (2019)	$838,514,835.00 (EBIT-2019)	436,000 MT harvested (2019)	47.6335	-55.3539	Sea Farm	Atlantic Salmon	MOWI, Appeti Marine, Mowi Salmon, Donegal Silver, Admiral's, Pieters, Laschinger, Kritsen, Ducktrap River, Harbour Salmon Co, Rebel Fish, Sterling, Marine Harvest, Olav's	2002	N/A	Canada	Newfoundland	Belle Harbour	Southern Coast Newfoundland	Y	TBD		TBD	TBD	TBD	2,600,000 Salmon Died (Sept. 2019-Across all N. Har. sea farms in region)	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD
Benny's Cove	Northern Harvest Sea Farms NL Ltd. (Owned by Marine Harvest Canada/MOWI)	Ivan Vindheim	$1,667,957.10 (2019)	$838,514,835.00 (EBIT-2019)	436,000 MT harvested (2019)	47.6771	-55.1300	Sea Farm	Atlantic Salmon	MOWI, Appeti Marine, Mowi Salmon, Donegal Silver, Admiral's, Pieters, Laschinger, Kritsen, Ducktrap River, Harbour Salmon Co, Rebel Fish, Sterling, Marine Harvest, Olav's	2013	N/A	Canada	Newfoundland	Benny's Cove	Southern Coast Newfoundland	Y	TBD		TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD
Blackfish Cove, Little Passage	Northern Harvest Sea Farms NL Ltd. (Owned by Marine Harvest Canada/MOWI)	Ivan Vindheim	$1,667,957.10 (2019)	$838,514,835.00 (EBIT-2019)	436,000 MT harvested (2019)	47.6669	-55.9314	Sea Farm	Atlantic Salmon	MOWI, Appeti Marine, Mowi Salmon, Donegal Silver, Admiral's, Pieters, Laschinger, Kritsen, Ducktrap River, Harbour Salmon Co, Rebel Fish, Sterling, Marine Harvest, Olav's	1998	N/A	Canada	Newfoundland	Blackfish Cove	Southern Coast Newfoundland	Y	TBD		TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD
Broad Cove, Northeast Arm	Northern Harvest Sea Farms NL Ltd. (Owned by Marine Harvest Canada/MOWI)	Ivan Vindheim	$1,667,957.10 (2019)	$838,514,835.00 (EBIT-2019)	436,000 MT harvested (2019)	47.5077	-55.7734	Sea Farm	Atlantic Salmon	MOWI, Appeti Marine, Mowi Salmon, Donegal Silver, Admiral's, Pieters, Laschinger, Kritsen, Ducktrap River, Harbour Salmon Co, Rebel Fish, Sterling, Marine Harvest, Olav's	2007	N/A	Canada	Newfoundland	N. of Harbour Breton	Southern Coast Newfoundland	Y	TBD		TBD	TBD	TBD	249,559	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD
Cinq Island Cove, Belle Bay	Northern Harvest Sea Farms NL Ltd. (Owned by Marine Harvest Canada/MOWI)	Ivan Vindheim	$1,667,957.10 (2019)	$838,514,835.00 (EBIT-2019)	436,000 MT harvested (2019)	47.6349	-55.4638	Sea Farm	Atlantic Salmon	MOWI, Appeti Marine, Mowi Salmon, Donegal Silver, Admiral's, Pieters, Laschinger, Kritsen, Ducktrap River, Harbour Salmon Co, Rebel Fish, Sterling, Marine Harvest, Olav's	2003	N/A	Canada	Newfoundland	Cinq Island Cove	Southern Coast Newfoundland	Y	TBD		TBD	TBD	TBD	397	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD
Deep Water Point 	Northern Harvest Sea Farms NL Ltd. (Owned by Marine Harvest Canada/MOWI)	Ivan Vindheim	$1,667,957.10 (2019)	$838,514,835.00 (EBIT-2019)	436,000 MT harvested (2019)	47.6532	-55.2377	Sea Farm	Atlantic Salmon	MOWI, Appeti Marine, Mowi Salmon, Donegal Silver, Admiral's, Pieters, Laschinger, Kritsen, Ducktrap River, Harbour Salmon Co, Rebel Fish, Sterling, Marine Harvest, Olav's	2011	N/A	Canada	Newfoundland	Little Bay	Southern Coast Newfoundland	Y	TBD		TBD	TBD	TBD	384,596	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD
Deer Cove	Northern Harvest Sea Farms NL Ltd. (Owned by Marine Harvest Canada/MOWI)	Ivan Vindheim	$1,667,957.10 (2019)	$838,514,835.00 (EBIT-2019)	436,000 MT harvested (2019)	47.6739	-55.9291	Sea Farm	Atlantic Salmon	MOWI, Appeti Marine, Mowi Salmon, Donegal Silver, Admiral's, Pieters, Laschinger, Kritsen, Ducktrap River, Harbour Salmon Co, Rebel Fish, Sterling, Marine Harvest, Olav's	2012	N/A	Canada	Newfoundland	Deer Cove	Southern Coast Newfoundland	Y	TBD		TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD
Dog Cove, Great Bay de l'Eau	Northern Harvest Sea Farms NL Ltd. (Owned by Marine Harvest Canada/MOWI)	Ivan Vindheim	$1,667,957.10 (2019)	$838,514,835.00 (EBIT-2019)	436,000 MT harvested (2019)	47.5362	-55.6258	Sea Farm	Atlantic Salmon	MOWI, Appeti Marine, Mowi Salmon, Donegal Silver, Admiral's, Pieters, Laschinger, Kritsen, Ducktrap River, Harbour Salmon Co, Rebel Fish, Sterling, Marine Harvest, Olav's	2010	N/A	Canada	Newfoundland	Dog Cove	Southern Coast Newfoundland	Y	TBD		TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD
Foshie's Cove	Northern Harvest Sea Farms NL Ltd. (Owned by Marine Harvest Canada/MOWI)	Ivan Vindheim	$1,667,957.10 (2019)	$838,514,835.00 (EBIT-2019)	436,000 MT harvested (2019)	47.662477	-55.135581	Sea Farm	Atlantic Salmon	MOWI, Appeti Marine, Mowi Salmon, Donegal Silver, Admiral's, Pieters, Laschinger, Kritsen, Ducktrap River, Harbour Salmon Co, Rebel Fish, Sterling, Marine Harvest, Olav's	2013	N/A	Canada	Newfoundland	Foshie's Cove	Southern Coast Newfoundland	Y	TBD		TBD	TBD	TBD	661,335	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD
Harvey Hill East, Northeast Arm	Northern Harvest Sea Farms NL Ltd. (Owned by Marine Harvest Canada/MOWI)	Ivan Vindheim	$1,667,957.10 (2019)	$838,514,835.00 (EBIT-2019)	436,000 MT harvested (2019)	47.5385	-55.7562	Sea Farm	Atlantic Salmon	MOWI, Appeti Marine, Mowi Salmon, Donegal Silver, Admiral's, Pieters, Laschinger, Kritsen, Ducktrap River, Harbour Salmon Co, Rebel Fish, Sterling, Marine Harvest, Olav's	2009	N/A	Canada	Newfoundland	N. of Harbour Breton	Southern Coast Newfoundland	Y	TBD		TBD	TBD	TBD	221,913	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD
Harvey Hill North, Northeast Arm	Northern Harvest Sea Farms NL Ltd. (Owned by Marine Harvest Canada/MOWI)	Ivan Vindheim	$1,667,957.10 (2019)	$838,514,835.00 (EBIT-2019)	436,000 MT harvested (2019)	47.561	-55.7468	Sea Farm	Atlantic Salmon	MOWI, Appeti Marine, Mowi Salmon, Donegal Silver, Admiral's, Pieters, Laschinger, Kritsen, Ducktrap River, Harbour Salmon Co, Rebel Fish, Sterling, Marine Harvest, Olav's	2008	N/A	Canada	Newfoundland	N. of Harbour Breton	Southern Coast Newfoundland	Y	TBD		TBD	TBD	TBD	232,145	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD
Harvey Hill South	Northern Harvest Sea Farms NL Ltd. (Owned by Marine Harvest Canada/MOWI)	Ivan Vindheim	$1,667,957.10 (2019)	$838,514,835.00 (EBIT-2019)	436,000 MT harvested (2019)	47.5280	-55.7763	Sea Farm	Atlantic Salmon	MOWI, Appeti Marine, Mowi Salmon, Donegal Silver, Admiral's, Pieters, Laschinger, Kritsen, Ducktrap River, Harbour Salmon Co, Rebel Fish, Sterling, Marine Harvest, Olav's	2016	N/A	Canada	Newfoundland	N. of Harbour Breton	Southern Coast Newfoundland	Y	TBD		TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD
Hickman's Point, East Bay, Fortune Bay	Northern Harvest Sea Farms NL Ltd. (Owned by Marine Harvest Canada/MOWI)	Ivan Vindheim	$1,667,957.10 (2019)	$838,514,835.00 (EBIT-2019)	436,000 MT harvested (2019)	47.7154	-55.3961	Sea Farm	Atlantic Salmon	MOWI, Appeti Marine, Mowi Salmon, Donegal Silver, Admiral's, Pieters, Laschinger, Kritsen, Ducktrap River, Harbour Salmon Co, Rebel Fish, Sterling, Marine Harvest, Olav's	2005	N/A	Canada	Newfoundland	Hickman's Point, East Bay, Fortune's Bay	Southern Coast Newfoundland	Y	TBD		TBD	TBD	TBD	13,866	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD
Indian Head Hatchery	Northern Harvest Sea Farms NL Ltd. (Owned by Marine Harvest Canada/MOWI)	Ivan Vindheim	$1,667,957.10 (2019)	$838,514,835.00 (EBIT-2019)	436,000 MT harvested (2019)	48.555603	-58.544051	Freshwater Hatchery	Atlantic Salmon	MOWI, Appeti Marine, Mowi Salmon, Donegal Silver, Admiral's, Pieters, Laschinger, Kritsen, Ducktrap River, Harbour Salmon Co, Rebel Fish, Sterling, Marine Harvest, Olav's	2018	N/A	Canada	Newfoundland	Stephenville-Noels Pond area	Southern Coast Newfoundland	Y									TBD	TBD	TBD	TBD	TBD	TBD	TBD
Ironskull Point	Northern Harvest Sea Farms NL Ltd. (Owned by Marine Harvest Canada/MOWI)	Ivan Vindheim	$1,667,957.10 (2019)	$838,514,835.00 (EBIT-2019)	436,000 MT harvested (2019)	47.5681	-55.4032	Sea Farm	Atlantic Salmon	MOWI, Appeti Marine, Mowi Salmon, Donegal Silver, Admiral's, Pieters, Laschinger, Kritsen, Ducktrap River, Harbour Salmon Co, Rebel Fish, Sterling, Marine Harvest, Olav's	2003	N/A	Canada	Newfoundland	W. end of Long Island	Southern Coast Newfoundland	Y	TBD		TBD	TBD	TBD	43,472	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD
Little Burdock Cove	Northern Harvest Sea Farms NL Ltd. (Owned by Marine Harvest Canada/MOWI)	Ivan Vindheim	$1,667,957.10 (2019)	$838,514,835.00 (EBIT-2019)	436,000 MT harvested (2019)	47.639752	-55.233716	Sea Farm	Atlantic Salmon	MOWI, Appeti Marine, Mowi Salmon, Donegal Silver, Admiral's, Pieters, Laschinger, Kritsen, Ducktrap River, Harbour Salmon Co, Rebel Fish, Sterling, Marine Harvest, Olav's	2011	N/A	Canada	Newfoundland	N. of Rencontre Island	Southern Coast Newfoundland	Y	TBD		TBD	TBD	TBD	407,215	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD
Lou Cove	Northern Harvest Sea Farms NL Ltd. (Owned by Marine Harvest Canada/MOWI)	Ivan Vindheim	$1,667,957.10 (2019)	$838,514,835.00 (EBIT-2019)	436,000 MT harvested (2019)	47.8706	-55.8143	Sea Farm	Atlantic Salmon	MOWI, Appeti Marine, Mowi Salmon, Donegal Silver, Admiral's, Pieters, Laschinger, Kritsen, Ducktrap River, Harbour Salmon Co, Rebel Fish, Sterling, Marine Harvest, Olav's	1993	N/A	Canada	Newfoundland	Lou Cove	Southern Coast Newfoundland	Y	TBD		TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD
Man Of War Cove	Northern Harvest Sea Farms NL Ltd. (Owned by Marine Harvest Canada/MOWI)	Ivan Vindheim	$1,667,957.10 (2019)	$838,514,835.00 (EBIT-2019)	436,000 MT harvested (2019)	47.8675	-55.8292	Sea Farm	Atlantic Salmon	MOWI, Appeti Marine, Mowi Salmon, Donegal Silver, Admiral's, Pieters, Laschinger, Kritsen, Ducktrap River, Harbour Salmon Co, Rebel Fish, Sterling, Marine Harvest, Olav's	1992	N/A	Canada	Newfoundland	Man Of War Cove	Southern Coast Newfoundland	Y	TBD		TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD
McGrath Cove North, Belle Bay	Northern Harvest Sea Farms NL Ltd. (Owned by Marine Harvest Canada/MOWI)	Ivan Vindheim	$1,667,957.10 (2019)	$838,514,835.00 (EBIT-2019)	436,000 MT harvested (2019)	47.6639	-55.3794	Sea Farm	Atlantic Salmon	MOWI, Appeti Marine, Mowi Salmon, Donegal Silver, Admiral's, Pieters, Laschinger, Kritsen, Ducktrap River, Harbour Salmon Co, Rebel Fish, Sterling, Marine Harvest, Olav's	2002	N/A	Canada	Newfoundland	McGrath Cove	Southern Coast Newfoundland	Y	TBD		TBD	TBD	TBD	15,590	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD
McGrath Cove South, Belle Bay	Northern Harvest Sea Farms NL Ltd. (Owned by Marine Harvest Canada/MOWI)	Ivan Vindheim	$1,667,957.10 (2019)	$838,514,835.00 (EBIT-2019)	436,000 MT harvested (2019)	47.6594	-55.3699	Sea Farm	Atlantic Salmon	MOWI, Appeti Marine, Mowi Salmon, Donegal Silver, Admiral's, Pieters, Laschinger, Kritsen, Ducktrap River, Harbour Salmon Co, Rebel Fish, Sterling, Marine Harvest, Olav's	2002	N/A	Canada	Newfoundland	McGrath Cove	Southern Coast Newfoundland	Y	TBD		TBD	TBD	TBD	323,591	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD
Murphy Point	Northern Harvest Sea Farms NL Ltd. (Owned by Marine Harvest Canada/MOWI)	Ivan Vindheim	$1,667,957.10 (2019)	$838,514,835.00 (EBIT-2019)	436,000 MT harvested (2019)	47.498	-55.7041	Sea Farm	Atlantic Salmon	MOWI, Appeti Marine, Mowi Salmon, Donegal Silver, Admiral's, Pieters, Laschinger, Kritsen, Ducktrap River, Harbour Salmon Co, Rebel Fish, Sterling, Marine Harvest, Olav's	2012	N/A	Canada	Newfoundland	Little Bay, N.C. Arm Friar	Southern Coast Newfoundland	Y	TBD		TBD	TBD	TBD	40,241	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD
Old Woman's Cove	Northern Harvest Sea Farms NL Ltd. (Owned by Marine Harvest Canada/MOWI)	Ivan Vindheim	$1,667,957.10 (2019)	$838,514,835.00 (EBIT-2019)	436,000 MT harvested (2019)	47.6727	-55.3317	Sea Farm	Atlantic Salmon	MOWI, Appeti Marine, Mowi Salmon, Donegal Silver, Admiral's, Pieters, Laschinger, Kritsen, Ducktrap River, Harbour Salmon Co, Rebel Fish, Sterling, Marine Harvest, Olav's	2011	N/A	Canada	Newfoundland	N. of Doctor's Harbour	Southern Coast Newfoundland	Y	TBD		TBD	TBD	TBD	132,868	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD
Red Cove, Great Bay de l'Eau	Northern Harvest Sea Farms NL Ltd. (Owned by Marine Harvest Canada/MOWI)	Ivan Vindheim	$1,667,957.10 (2019)	$838,514,835.00 (EBIT-2019)	436,000 MT harvested (2019)	47.5227	-55.6164	Sea Farm	Atlantic Salmon	MOWI, Appeti Marine, Mowi Salmon, Donegal Silver, Admiral's, Pieters, Laschinger, Kritsen, Ducktrap River, Harbour Salmon Co, Rebel Fish, Sterling, Marine Harvest, Olav's	2011	N/A	Canada	Newfoundland	Red Cove	Southern Coast Newfoundland	Y	TBD		TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD
Rencontre East Island	Northern Harvest Sea Farms NL Ltd. (Owned by Marine Harvest Canada/MOWI)	Ivan Vindheim	$1,667,957.10 (2019)	$838,514,835.00 (EBIT-2019)	436,000 MT harvested (2019)	47.6322	-55.2165	Sea Farm	Atlantic Salmon	MOWI, Appeti Marine, Mowi Salmon, Donegal Silver, Admiral's, Pieters, Laschinger, Kritsen, Ducktrap River, Harbour Salmon Co, Rebel Fish, Sterling, Marine Harvest, Olav's	2011	N/A	Canada	Newfoundland	S. of Rencontre East	Southern Coast Newfoundland	Y	TBD		TBD	TBD	TBD	225,414	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD
Roti Bay Site 1, South East Cove	Northern Harvest Sea Farms NL Ltd. (Owned by Marine Harvest Canada/MOWI)	Ivan Vindheim	$1,667,957.10 (2019)	$838,514,835.00 (EBIT-2019)	436,000 MT harvested (2019)	47.7943	-55.8592	Sea Farm	Atlantic Salmon	MOWI, Appeti Marine, Mowi Salmon, Donegal Silver, Admiral's, Pieters, Laschinger, Kritsen, Ducktrap River, Harbour Salmon Co, Rebel Fish, Sterling, Marine Harvest, Olav's	1991	N/A	Canada	Newfoundland	Roti Bay	Southern Coast Newfoundland	Y	TBD		TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD
Salmonier Cove, Great Bay de l'Eau	Northern Harvest Sea Farms NL Ltd. (Owned by Marine Harvest Canada/MOWI)	Ivan Vindheim	$1,667,957.10 (2019)	$838,514,835.00 (EBIT-2019)	436,000 MT harvested (2019)	47.5132	-55.5953	Sea Farm	Atlantic Salmon	MOWI, Appeti Marine, Mowi Salmon, Donegal Silver, Admiral's, Pieters, Laschinger, Kritsen, Ducktrap River, Harbour Salmon Co, Rebel Fish, Sterling, Marine Harvest, Olav's	2010	N/A	Canada	Newfoundland	Salmonier Cove	Southern Coast Newfoundland	Y	TBD		TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD
Seal Nest Cove	Northern Harvest Sea Farms NL Ltd. (Owned by Marine Harvest Canada/MOWI)	Ivan Vindheim	$1,667,957.10 (2019)	$838,514,835.00 (EBIT-2019)	436,000 MT harvested (2019)	47.6533	-55.9267	Sea Farm	Atlantic Salmon	MOWI, Appeti Marine, Mowi Salmon, Donegal Silver, Admiral's, Pieters, Laschinger, Kritsen, Ducktrap River, Harbour Salmon Co, Rebel Fish, Sterling, Marine Harvest, Olav's	2000	N/A	Canada	Newfoundland	Seal Nest Cove	Southern Coast Newfoundland	Y	TBD		TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD
South East Bight	Northern Harvest Sea Farms NL Ltd. (Owned by Marine Harvest Canada/MOWI)	Ivan Vindheim	$1,667,957.10 (2019)	$838,514,835.00 (EBIT-2019)	436,000 MT harvested (2019)	47.7095	-55.3612	Sea Farm	Atlantic Salmon	MOWI, Appeti Marine, Mowi Salmon, Donegal Silver, Admiral's, Pieters, Laschinger, Kritsen, Ducktrap River, Harbour Salmon Co, Rebel Fish, Sterling, Marine Harvest, Olav's	2011	N/A	Canada	Newfoundland	E. Bay, S.E. Bight	Southern Coast Newfoundland	Y	TBD		TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD
Spoon Cove, Belle Bay	Northern Harvest Sea Farms NL Ltd. (Owned by Marine Harvest Canada/MOWI)	Ivan Vindheim	$1,667,957.10 (2019)	$838,514,835.00 (EBIT-2019)	436,000 MT harvested (2019)	47.7013	-55.4382	Sea Farm	Atlantic Salmon	MOWI, Appeti Marine, Mowi Salmon, Donegal Silver, Admiral's, Pieters, Laschinger, Kritsen, Ducktrap River, Harbour Salmon Co, Rebel Fish, Sterling, Marine Harvest, Olav's	2006	N/A	Canada	Newfoundland	Spoone Cove, Belle Bay	Southern Coast Newfoundland	Y	TBD		TBD	TBD	TBD	8,338	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD
